■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2021-08-06,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2003-01-01~2004-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
1,태극기 휘날리며,2004-02-05,"15,687,180,500",3.5%,"15,687,180,500","2,544,911","2,544,911",115,"22,375",한국,한국,강제규필름,"(주)다자인소프트,(주)쇼박스",15세관람가,"전쟁,드라마",강제규,"장동건,원빈,이은주,공형진,조원희,이장욱,이영란,정희준,박유신,김효열,김효준,최재혁,이건우,박태원,배상철,김범주,한선랑,이동혁,한재민,지중현,김대영,민지혁,이호천,임동빈,김재중,박성희,임성택,정승진,이정훈,오명준,이기수,김용현,이주원,이환희,장민호,정호빈,박길수,박동빈,안길강,김해곤,권태원,최교식,조운,전승재"
2,트로이,2004-05-21,"12,777,346,000",2.8%,"12,777,346,000","2,001,293","2,001,293",177,"21,245",미국,미국,"플랜 비 엔터테인먼트,워너 브러더스 픽쳐스",워너브러더스 코리아(주),15세관람가,사극,볼프강 페터젠,"다이앤 크루거,올랜도 블룸,에릭 바나"
3,내 머리 속의 지우개,2004-11-05,"11,919,939,500",2.6%,"11,919,939,500","1,885,827","1,885,827",206,"29,532",한국,한국,(주)싸이더스,CJ ENM,12세관람가,멜로/로맨스,이재한,"정우성,손예진,데이비드 맥기니스,김부선,정광재,최기호,박경진,장재용,전은희,이영필,박윤희,이정인,신현탁,김중기,권병길,진용욱,정민성,최교식"
4,귀신이 산다,2004-09-17,"11,898,748,500",2.6%,"11,898,748,500","1,875,936","1,875,936",174,"27,936",한국,한국,(주)시네마서비스,(주)시네마서비스,12세관람가,"코미디,공포(호러),판타지",김상진,"김응수,장서희,차승원,김서현,최기웅,유대현,김성미,태인호,임상란,장승현,김정우,김양진,이종화,박성웅,장항선,윤문식,오정세,황석정,윤제문,이도겸,이미은"
5,투모로우,2004-06-03,"11,658,584,500",2.6%,"11,658,584,500","1,830,767","1,830,767",164,"22,881",미국,미국,"센트로폴리스 엔터테인먼트,더 마크 고든 컴퍼니",이십세기폭스필름코퍼레이션,12세관람가,SF,롤랜드 에머리히,"데니스 퀘이드,제이크 질렌할,이안 홈"
6,우리 형,2004-10-08,"11,090,682,500",2.4%,"11,090,682,500","1,778,607","1,778,607",211,"29,282",한국,한국,(주)진인사필름,CJ ENM,15세관람가,드라마,안권태,"원빈,조성제,신하균,김해숙,김석,김정태,이보영,박인혜,김범기,이상직,조진웅,정호빈,김광규"
7,해리포터와 아즈카반의 죄수,2004-07-16,"10,926,127,000",2.4%,"10,926,127,000","1,775,031","1,775,031",228,"18,247",미국,미국,워너브러더스사㈜,워너브러더스 코리아(주),전체관람가,드라마,알폰소 쿠아론,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트"
8,실미도,2003-12-24,"10,923,920,500",2.4%,"10,923,920,500","1,719,165","1,719,165",51,"14,332",한국,한국,(주)시네마서비스,(주)시네마서비스,15세관람가,전쟁,강우석,"설경구,안성기,허준호,정재영,임원희,강성진,강신일,이도겸,엄태웅,김강우,이효정,석재승,김문희,신성호,최진,심정운,박진수,주경탁,백성기,김봉식,최명규,전병윤,유상섭,이성원,임경호,김진휘,윤효석,이경근,조민준,류제승"
9,슈렉2,2004-06-18,"10,798,690,500",2.4%,"10,798,690,500","1,661,916","1,661,916",174,"22,853",미국,미국,드림웍스픽쳐스,CJ ENM,전체관람가,애니메이션,"캘리 애스버리,앤드류 아담슨,콘래드 베논","마이크 마이어스,카메론 디아즈,에디 머피"
10,스파이더맨 2,2004-06-30,"9,632,422,500",2.1%,"9,632,422,500","1,506,199","1,506,199",198,"18,165",미국,미국,콜럼비아트라이스타,한국소니픽쳐스릴리징브에나비스타영화㈜,12세관람가,SF,샘 레이미,"토비 맥과이어,커스틴 던스트"
11,바람의 파이터,2004-08-12,"9,158,945,500",2.0%,"9,158,945,500","1,442,299","1,442,299",110,"15,895",한국,한국,아이비젼엔터테인먼트(주),영화사청어람(주),12세관람가,액션,양윤호,"양동근,히라야마 아야,허명행,정두홍,송혁재,주경탁,김대우,김규현,이호식,김순재,김영주,양길영,이경원,정태우,이한솔,염혜란,한이진"
12,오페라의 유령,2004-12-08,"8,691,600,500",1.9%,"8,691,600,500","1,368,508","1,368,508",221,"17,699",미국,미국,워너 브러더스 픽쳐스,"(주)팝엔터테인먼트,(주)드림팩트엔터테인먼트,CJ ENM","12세이상관람가,12세관람가","뮤지컬,드라마",조엘 슈마허,"제라드 버틀러,에미 로섬,패트릭 윌슨,미란다 리차드슨"
13,내 여자친구를 소개합니다,2004-06-03,"8,329,341,500",1.8%,"8,329,341,500","1,298,666","1,298,666",185,"19,289",한국,한국,(주)아이필름홀딩스,"CJ ENM,아이러브시네마",15세관람가,"멜로/로맨스,드라마",곽재용,"전지현,장혁,김정태,정호빈,오정세,김창완,김광규,최주현,정한철,안수라,배재일,권영빈,백경찬,한지빈,원태운,장원식,윤선희,임종식,이호경,송윤희,김희영,안호완,박윤희,박윤희,이기우,정보름,우기홍,서동원"
14,늑대의 유혹,2004-07-22,"8,025,959,500",1.8%,"8,025,959,500","1,297,296","1,297,296",123,"12,777",한국,한국,(주)싸이더스,(주)쇼박스,12세관람가,드라마,김태균,"강동원,이청아,조한선,이명수,정혜영,김현진,박용두,조인형,박진희,정다혜,김보연,김응수,남정희"
15,가족,2004-09-03,"8,051,239,500",1.8%,"8,051,239,500","1,270,581","1,270,581",104,"25,473",한국,한국,튜브픽쳐스(주),(주)튜브엔터테인먼트,15세관람가,드라마,이정철,"수애,주현,박지빈,박희순,박상영,정욱,박상우,오현수,전국환"
16,시실리 2km,2004-08-13,"8,049,487,000",1.8%,"8,049,487,000","1,263,196","1,263,196",86,"16,919",한국,한국,한맥영화(주),(주)쇼박스,15세관람가,코미디,신정원,"권오중,김윤석,임은경,임창정,주진모,최원석,정소연,이재민,변희봉,우현,신이,박명신,최원영"
17,"아이, 로봇",2004-07-30,"7,097,789,000",1.6%,"7,097,789,000","1,108,063","1,108,063",117,"12,827",미국,미국,"이십세기폭스필름코퍼레이션,데이비스 엔터테인먼트 필름웍스",이십세기폭스필름코퍼레이션,12세관람가,SF,알렉스 프로야스,"윌 스미스,브리짓 모나핸"
18,S 다이어리,2004-10-22,"7,024,070,500",1.5%,"7,024,070,500","1,098,583","1,098,583",169,"20,150",한국,한국,(주)아이필름홀딩스,"CJ ENM,아이러브시네마",15세관람가,코미디,권종관,"공유,김광일,홍윤희,최우혁,이현우,이하나,김수로,김선화,김선아,김미경,최철수,안현주,서상우,임재연,오주은,이찬호,이철호,이충신,이찬호"
19,알포인트,2004-08-20,"6,792,339,000",1.5%,"6,792,339,000","1,068,087","1,068,087",100,"15,833",한국,한국,씨앤필름(주),(주)시네마서비스,15세관람가,전쟁,공수창,"감우성,손병호,박원상,오태경,이선균,손진호,문영동,정경호,김병철,기주봉,신진우,최차남,황성진,조현수,이동운,한종훈,곽성훈,이호용,정용훈,이수성,양희선,이은혜,김완식,오현수,안내상"
20,주홍글씨,2004-10-29,"6,648,786,000",1.5%,"6,648,786,000","1,030,259","1,030,259",190,"18,777",한국,한국,(주)엘제이필름,(주)쇼박스,18세관람가,"스릴러,멜로/로맨스",변혁,"성현아,한석규,이은주,변혁,엄지원,김중기,정인기"
21,연인,2004-09-10,"6,644,463,500",1.5%,"6,644,463,500","1,027,354","1,027,354",157,"16,630",중국,중국,"에드코필름,장예모 스튜디오",쇼이스트(주),12세관람가,"멜로/로맨스,액션",장예모,"금성무,유덕화,장쯔이"
22,브리짓 존스의 일기2 : 열정과 애정,2004-12-08,"6,622,706,500",1.5%,"6,622,706,500","1,022,262","1,022,262",132,"16,082",영국,영국,"워킹 타이틀 필름,유니버셜 픽쳐스",UIP코리아,15세관람가,"멜로/로맨스,드라마",비번 키드론,"르네 젤위거,휴 그랜트,린 콜린스"
23,어린 신부,2004-04-02,"6,240,174,500",1.4%,"6,240,174,500","991,674","991,674",70,"12,895",한국,한국,(주)컬처캡미디어,코리아픽쳐스(주),12세관람가,코미디,김호준,"김래원,김보경,안선영,문근영,진경,김혜옥,김인문,한진희,송기윤,선우은숙,신세경,최장헌,박준석,박진우,유순일,임관우,장미희,김용환,류덕환,전원주,윤서현"
24,터미널,2004-08-27,"6,377,300,000",1.4%,"6,377,300,000","986,903","986,903",127,"13,929",미국,미국,,CJ ENM,전체관람가,드라마,스티븐 스필버그,"톰 행크스,캐서린 제타-존스"
25,하울의 움직이는 성,2004-12-23,"6,019,224,000",1.3%,"6,019,224,000","965,797","965,797",176,"8,749",일본,일본,지브리 스튜디오,"(주)이수C&E,(주)시네마서비스",전체관람가,애니메이션,미야자키 하야오,"바이쇼 치에코,기무라 다쿠야"
26,나비효과,2004-11-12,"6,259,548,500",1.4%,"6,259,548,500","957,116","957,116",108,"16,973",미국,미국,필름엔진,(주)쇼박스,18세관람가,드라마,"에릭 브레스,J. 마키에 그러버","에이미 스마트,애쉬튼 커처,에릭 스톨츠,윌리엄 리 스콧,엘든 헨슨"
27,역도산,2004-12-15,"6,050,131,500",1.3%,"6,050,131,500","951,646","951,646",223,"14,789",한국,한국,"(주)싸이더스,㈜싸이더스픽쳐스",CJ ENM,12세관람가,드라마,송해성,"설경구,이명수,유병훈"
28,범죄의 재구성,2004-04-15,"6,132,904,000",1.4%,"6,132,904,000","942,198","942,198",73,"11,397",한국,한국,(주)싸이더스,(주)쇼박스,18세관람가,스릴러,최동훈,"김윤석,박신양,주진모,염정아,이기철,백윤식,이문식,천호진,박원상,김상호,성소원,송현정,한지선,서종해,김선태,이호원,박세환,오형진,이경헌,이인성,이현정,임하룡,정석원,윤다경,조희봉,김기천,손병욱"
29,반 헬싱,2004-07-30,"5,586,373,000",1.2%,"5,586,373,000","872,828","872,828",98,"9,790",미국,미국,유니버셜 픽쳐스,(주)스튜디오이쩜영,15세관람가,액션,스티븐 소머즈,"케이트 베킨세일,휴 잭맨,리차드 록스버그"
30,이프 온리,2004-10-29,"5,518,745,500",1.2%,"5,518,745,500","859,051","859,051",82,"17,831",미국,미국,"인터미디어필름,아웃로 프로덕션즈,테이피스트리 필름","유니코리아문예투자(주),CJ ENM",15세관람가,"코미디,드라마,판타지,멜로/로맨스",길 정거,"제니퍼 러브 휴잇,폴 니콜스"
31,여선생 VS 여제자,2004-11-17,"5,261,476,506",1.2%,"5,261,476,506","846,020","846,020",182,"20,893",한국,한국,(주)좋은영화,CJ ENM,15세관람가,코미디,장규성,"김응수,이지영,이지훈,이세영,염정아,정형민,김혜경,황경애,최란,오은석,최윤정,이정헌,이원종,변희봉,신현종,김정영,전국향,최정인"
32,패션 오브 크라이스트,2004-04-02,"5,338,827,500",1.2%,"5,338,827,500","841,006","841,006",66,"9,902",미국,미국,아이콘프로덕션,"(주)이수C&E,이십세기폭스필름코퍼레이션",15세관람가,드라마,멜 깁슨,"제임스 카비젤,모니카 벨루치,마이아 모겐스턴"
33,아라한 장풍대작전,2004-04-30,"5,207,905,000",1.1%,"5,207,905,000","810,406","810,406",82,"12,593",한국,한국,(주)싸이더스,(주)시네마서비스,12세관람가,"액션,드라마",류승완,"류승범,윤소이,안성기,김수현,김지영,허명행,김효선,심재원,도영훈,이무룡,윤도현,장혁진,정두홍,권승구,이춘영,임하룡,유순철,이대연,안길강,윤주상,권범택"
34,킹 아더,2004-07-23,"5,137,581,500",1.1%,"5,137,581,500","807,850","807,850",104,"9,335",미국,미국,"제리 브룩하이머 필름,월트디즈니코리아㈜",한국소니픽쳐스릴리징브에나비스타영화㈜,15세관람가,사극,안톤 후쿠아,"스티븐 딜레인,클라이브 오웬,이안 그루퍼드"
35,내 남자의 로맨스,2004-07-16,"4,895,975,500",1.1%,"4,895,975,500","765,720","765,720",102,"9,658",한국,한국,메이필름(주),CJ ENM,12세관람가,드라마,박제현,"김상경,박동빈,김정은,이유진,신영미,김희은,안준우,이광재,서광재,박솔,엄기욱,최이영,엄기욱,맹상훈,지대한,한재영,정희태"
36,효자동 이발사,2004-05-05,"4,855,872,900",1.1%,"4,855,872,900","748,380","748,380",83,"10,745",한국,한국,영화사청어람(주),(주)쇼박스,15세관람가,드라마,임찬상,"문소리,송강호,주진모,이재응,오달수,노형욱,류승수,정세인,김민석,최한철,채성민,민봉기,손병호,박길수,조영진,정대용,윤주상,김경룡,최홍일,최교식,오창경"
37,아는 여자,2004-06-25,"4,686,101,500",1.0%,"4,686,101,500","736,296","736,296",81,"10,941",한국,한국,필름있수다,(주)시네마서비스,15세관람가,드라마,장진,"이나영,정재영,이민정,이상민,조은정,지상용,이은석,김준혁,임하룡,조덕현,장영남,이철민,최일화"
38,"달마야, 서울 가자",2004-07-09,"4,469,579,500",1.0%,"4,469,579,500","703,507","703,507",128,"10,918",한국,한국,"(주)타이거픽쳐스,(주)씨네월드",(주)시네마서비스,15세관람가,코미디,육상효,"김지영,신현준,유해진,이성호,정진영,윤지연,이원종,김만수,홍성훈,박진,박찬민,하상호,임철민,공유석,김성구,이준회,신정근,정한용,전소현,염동헌,박윤호"
39,반지의 제왕 : 왕의 귀환,2003-12-17,"4,352,623,000",1.0%,"4,352,623,000","700,596","700,596",44,"4,925",미국,미국,,"워너브러더스 코리아(주),CJ ENM",12세관람가,"판타지,어드벤처",피터 잭슨,"비고 모텐슨,일라이저 우드,이안 맥켈런,숀 애스틴,리브 타일러,올랜도 블룸,숀 빈,빌리 보이드,케이트 블란쳇,휴고 위빙"
40,신부수업,2004-08-05,"4,255,753,000",0.9%,"4,255,753,000","675,521","675,521",113,"9,931",한국,한국,기획시대(주),코리아픽쳐스(주),12세관람가,"드라마,멜로/로맨스",허인무,"하지원,권상우,김도형,오대환,김유나,김선화,김인권,김인문,김미연,진이한,남진호,김도현,박경숙,이상현,김순옥,김지나,박효준,김일우,천우희,홍인"
41,블레이드 3,2004-12-15,"4,327,368,500",1.0%,"4,327,368,500","665,676","665,676",131,"10,879",미국,미국,뉴라인 시네마,(주)쇼박스,18세관람가,액션,데이빗 S. 고이어,"웨슬리 스나입스,라이언 레이놀즈"
43,슈퍼스타 감사용,2004-09-17,"4,073,017,000",0.9%,"4,073,017,000","627,199","627,199",128,"15,185",한국,한국,(주)싸이더스,CJ ENM,전체관람가,드라마,김종현,"이범수,공유,윤진서,하정우,이명수,이혁재,송민규,이대희,정석원,김상현,최봉석,이성덕,김철용,예민정,이정준,정준하,장항선,장소연,이태성,박효주,조희봉,박충선,조원동,류승수,최대훈,박용우,이람"
44,인크레더블,2004-12-15,"3,875,392,500",0.9%,"3,875,392,500","620,749","620,749",189,"11,725",미국,미국,"월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오",한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,애니메이션,브래드 버드,"홀리 헌터,크레이그 T. 넬슨,사무엘 L. 잭슨,제이슨 리"
45,분신사바,2004-08-05,"3,828,714,000",0.8%,"3,828,714,000","608,479","608,479",97,"9,877",한국,한국,(주)소프트랜드 영상 사업부 에이포스트 픽쳐스,브에나비스타인터내셔널코리아,15세관람가,공포(호러),안병기,"김규리,이유리,이세은,최정윤,안성범,이경미,최성민,모지은,김경룡"
46,말죽거리 잔혹사,2004-01-16,"3,837,152,000",0.8%,"3,837,152,000","604,969","604,969",40,"5,513",한국,한국,"(주)싸이더스,㈜싸이더스픽쳐스",CJ ENM,15세관람가,"액션,멜로/로맨스",유하,"권상우,이정진,한가인,김인권,박효준,이종혁,백봉기,안내상,조진웅,김동영,강동수,이동연,김대성,이민구,조주연,민성주,김성문,최선중,전진우,김소라,김수민,박수영,정영민,정진모,우성,김정열,양종규,이광재,이진욱,이혜선,김병춘,한재영,천호진,김부선,권태원,서동원,백주희,박혁민"
47,콜래트럴,2004-10-15,"3,752,632,000",0.8%,"3,752,632,000","576,262","576,262",114,"12,803",미국,미국,"드림웍스 SKG,파라마운트 픽쳐스",UIP코리아,15세관람가,액션,마이클 만,"톰 크루즈,제이미 폭스,제이다 핀켓 스미스,마크 러팔로"
48,투 가이즈,2004-07-09,"3,584,851,500",0.8%,"3,584,851,500","568,230","568,230",93,"8,311",한국,한국,(주)에스씨에스엔터테인먼트,쇼이스트(주),15세관람가,코미디,박헌수,"김성훈,차태현,박중훈,정환석,송남규,최정인,박한기,김병국,김경인,유소영,윤기호,김일환,정보름,이수나,김재훈,김창규,김용덕,한은정,이창용,박인환,지대한"
49,령,2004-06-17,"3,554,937,000",0.8%,"3,554,937,000","558,807","558,807",74,"8,781",한국,한국,㈜팝콘필름,(주)쇼박스,12세관람가,공포(호러),"김태경,이인규","김하늘,신이,류진,남상미,이윤지,전혜빈,김근영,최은재,김해숙,기주봉"
50,돈 텔 파파,2004-09-03,"3,481,025,000",0.8%,"3,481,025,000","558,745","558,745",81,"10,664",한국,한국,기획시대(주),CJ ENM,15세관람가,코미디,이상훈,"정웅인,유승호,채민서,이유진,천지윤,윤정,최우정,임호,이종수"
51,누구나 비밀은 있다,2004-07-30,"3,529,353,500",0.8%,"3,529,353,500","542,955","542,955",88,"7,650",한국,한국,(주)태원엔터테인먼트,(주)시네마서비스,18세관람가,"코미디,멜로/로맨스",장현수,"김효진,이병헌,추상미,최지우,임현주,황재원,최경민,임혜경,임승범,이재훈,정준하,탁재훈,김해곤,신이"
52,꽃피는 봄이 오면,2004-09-23,"3,201,626,000",0.7%,"3,201,626,000","497,689","497,689",117,"11,734",한국,한국,(주)씨즈엔터테인먼트,영화사청어람(주),12세관람가,드라마,류장하,"최민식,장신영,김호정,김강우,김동영,이민아,조명호,최태규,김기철,김길웅,이동진,김경준,박소윤,김정석,김영옥,이재응,이민아,엄효섭,최일화"
53,80일간의 세계 일주,2004-09-17,"3,016,226,000",0.7%,"3,016,226,000","477,424","477,424",104,"10,915",미국,미국,(주)쇼박스,(주)쇼박스,,"코미디,드라마,어드벤처,액션",프랑코 코라시,"성룡,세실 드 프랑스"
54,인어 공주,2004-06-30,"2,828,706,500",0.6%,"2,828,706,500","437,225","437,225",105,"8,794",한국,한국,나우필름(주),CJ ENM,전체관람가,드라마,박흥식,"전도연,박해일,고두심,김봉근,이선균,김은영,주진모,송은주,신수현,홍지현,박현두,사소인,강희정,김일종,김부선,신동환,박명신,조현숙"
55,목포는 항구다,2004-02-20,"2,673,832,500",0.6%,"2,673,832,500","425,725","425,725",25,"6,239",한국,한국,기획시대(주),코리아픽쳐스(주),15세관람가,"드라마,코미디",김지훈,"김윤태,차인표,조재현,김현정,송선미,박원서,방선진,문양식,김선애,유은아,이선규,장국환,임도기,정영호,이예은,조덕현,손병호,최덕문,이한위,김일우,기주봉,정경호,정상훈,권혁호,권태원,정인기,정희태,서병철"
56,노트북,2004-11-26,"2,736,255,500",0.6%,"2,736,255,500","423,719","423,719",101,"10,161",미국,미국,뉴라인 시네마,"(주)퍼스트런,TCO(주)더콘텐츠온,글뫼 주식회사,CJ ENM","15세관람가,15세이상관람가",멜로/로맨스,닉 카사베츠,"레이첼 맥아덤즈,라이언 고슬링"
57,빌리지,2004-09-24,"2,507,016,000",0.6%,"2,507,016,000","378,950","378,950",81,"9,005",미국,미국,터치스톤 픽처스,한국소니픽쳐스릴리징브에나비스타영화㈜,12세관람가,공포(호러),M. 나이트 샤말란,"와킨 피닉스,브라이스 달라스 하워드"
58,그놈은 멋있었다,2004-07-22,"2,309,055,500",0.5%,"2,309,055,500","372,591","372,591",77,"5,425",한국,한국,엘티 픽쳐스,프라임픽쳐스,15세관람가,코미디,이환경,"송승헌,김지혜,정다빈,이기우,이민혁,김효성,박정률,나수원,이동윤,김경록,곽동학,박민아,박성희,우성,이대일,이유명,정우,이환경,정준하,김보연,남궁은숙"
59,본 슈프리머시,2004-08-20,"2,439,904,500",0.5%,"2,439,904,500","370,894","370,894",90,"7,478",미국,미국,유니버셜 픽쳐스,UIP코리아,15세관람가,액션,폴 그린그래스,"맷 데이먼,칼 어번,프란카 포텐테,조안 알렌"
60,레지던트 이블 2-아포칼립스,2004-11-05,"2,367,612,000",0.5%,"2,367,612,000","363,273","363,273",100,"11,218",미국,미국,"(주)태원엔터테인먼트,임펙픽처스",(주)시네마서비스,18세관람가,액션,알렉산더 윗,"오데드 페르,시에나 길로리"
61,얼굴 없는 미녀,2004-08-06,"2,228,765,000",0.5%,"2,228,765,000","346,015","346,015",72,"5,594",한국,한국,(주)아이필름홀딩스,"CJ ENM,아이러브시네마",18세관람가,스릴러,김인식,"김혜수,김태우,한정수,김영애,김무령,윤희현,김형석,안성현,채은석,박보연,정지환,정인기,조운"
62,세상의 중심에서 사랑을 외치다,2004-10-08,"2,010,292,500",0.4%,"2,010,292,500","315,133","315,133",102,"8,701",일본,일본,도호쿠신샤,(주)동아수출공사,12세관람가,멜로/로맨스,유키사다 이사오,"나가사와 마사미,오사와 타카오,시바사키 코우"
63,맨 온 파이어,2004-09-24,"1,984,024,500",0.4%,"1,984,024,500","307,751","307,751",61,"7,364",미국,미국,폭스2000픽처스,이십세기폭스필름코퍼레이션,15세관람가,액션,토니 스콧,"덴젤 워싱턴,다코타 패닝"
64,올드보이,2003-11-21,"1,928,502,500",0.4%,"1,928,502,500","299,163","299,163",17,"2,693",한국,한국,"(주)에그필름,쇼이스트(주)","쇼이스트(주),(주)씨제이이엔엠",18세관람가,스릴러,박찬욱,"최민식,유지태,강혜정,김병옥,오달수,이승신,윤진서,지대한,오태경,유연석,김원중,박재용,박지훈,한정옥,박근석,곽정애,임설아,박성규,오영주,임승용,최재섭,이대연,오광록,김수현,용이,박명신"
65,라스트 사무라이,2004-01-09,"1,904,735,500",0.4%,"1,904,735,500","299,158","299,158",35,"3,091",미국,미국,,워너브러더스 코리아(주),15세관람가,액션,에드워드 즈윅,"톰 크루즈,와타나베 켄"
66,그녀를 믿지 마세요,2004-02-20,"1,859,615,500",0.4%,"1,859,615,500","298,221","298,221",25,"4,664",한국,한국,㈜영화사시선,(주)시네마서비스,12세관람가,코미디,배형준,"강동원,김용선,진경,김지영,김하늘,김은영,송재호,임하룡,최연수,김창수,최유선,이안나,이미은,류태호,권태원,홍인,이영은"
67,내사랑 싸가지,2004-01-16,"1,836,153,500",0.4%,"1,836,153,500","296,125","296,125",22,"2,967",한국,한국,"제이웰엔터테인먼트(주),(주)포이보스",(주)시네마서비스,12세관람가,코미디,신동엽,"김재원,진태현,하지원,김지훈,한민,강정호,김상혁,유현호,최용준,김용건,김민경,김창완,임혁필"
68,리딕 - 헬리온 최후의 빛,2004-08-13,"1,856,785,000",0.4%,"1,856,785,000","288,900","288,900",96,"6,148",미국,미국,"라다 픽쳐스,유니버셜 픽쳐스",CJ ENM,12세관람가,SF,데이빗 토히,"빈 디젤,칼 어번,탠디 뉴튼"
69,가필드,2004-08-19,"1,464,283,500",0.3%,"1,464,283,500","240,021","240,021",76,"5,432",미국,미국,이십세기폭스필름코퍼레이션,이십세기폭스필름코퍼레이션,전체관람가,코미디,피터 휴잇,"빌 머레이,제니퍼 러브 휴잇,브레킨 메이어"
